1,-0.5,0.5,1.4142
2,-0.067095,-0.2196,0.63263
3,0.16096,-0.10534,0.52029
4,-0.36629,0.047096,1.0246
5,0.44506,-0.123,0.38098
6,0.0068605,0.28811,0.92968
7,-0.43272,-0.31842,0.95023
8,0.18469,0.28754,0.84832
9,-0.056906,0.46943,1.118
10,0.075748,-0.31411,0.46319
11,0.29302,0.4306,0.95334
12,0.31556,-0.45485,0.18989
13,-0.20855,-0.038336,0.84568
14,0.28926,-0.49114,0.21093
15,-0.15302,-0.18183,0.72641
16,-0.040085,-0.26411,0.58935
17,0.13075,0.072416,0.68118
18,-0.40201,-0.34454,0.91531
19,-0.25432,0.0023674,0.9063
20,0.11573,0.067733,0.68556
21,-0.19504,-0.31173,0.72009
22,0.26697,-0.1758,0.39926
23,-0.47225,0.15845,1.1742
24,-0.46049,0.052929,1.1083
25,-0.20344,-0.35772,0.71768
26,0.056365,-0.11964,0.58437
27,0.46907,-0.10343,0.39777
28,0.18912,0.076742,0.65519
29,0.21788,-0.4806,0.28278
30,-0.3412,0.30266,1.1627
31,-0.09142,-0.17261,0.67599
32,0.37572,-0.39313,0.16391
33,-0.1069,0.23215,0.95099
34,-0.041933,0.47052,1.1116
35,-0.29175,0.10889,0.99881
36,-0.32605,-0.38246,0.83437
37,0.046692,-0.19725,0.54511
38,-0.14261,-0.040978,0.78972
39,0.201,-0.45197,0.30284
40,-0.39078,-0.11465,0.97056
41,-0.49339,-0.13828,1.0572
42,0.097302,-0.21242,0.49484
43,-0.32596,0.12741,1.0372
44,0.34189,0.010083,0.53403
45,0.40995,0.30663,0.81164
46,0.13601,0.29017,0.86998
47,0.025561,-0.21704,0.55241
48,-0.24038,-0.43169,0.74352
49,-0.44883,-0.44507,0.95042
50,0.5,-0.5,0
